Nombre componente/instancia;CHECK UNICIDAD;TORRE;ENTORNO;DUPLICADO?;VERIFICACION EN LISTA ENTITIES DYNATRACE;VERIFICACION CMDB - ESTADO;VERIFICACION CMDB - GRUPO;VERIFICACION CMDB - ENTORNO;VERIFICACION CMDB - SISTEMA OPERATIVO;CHECK INVENTARIO PLAN;Estado Monitoreo Integración;MARCA OBSOLESCENCIA;[Instancia] : Nombre ORI;[Instancia] : Motor de Base de Datos;[Servidor] : Display Label;Notas;Réplicación 
drecwct001;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Remote Host Wintel (Extension);CON SOPORTE;drecwct001;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwdb005;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdb005;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwdb008;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdb008;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
drecwdb010;1;WINTEL;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Retirado;WINTEL;Producción;Windows 2016 Standard - 10.0.14393;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdb010;Microsoft Windows Server 2016 (64-bit);poweredOff;DRECAVC004;VMware Virtual Machine Instance
DRECWDB012\B012DCA;1;BDD INST;DCA;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DRECWDB012\B012DCA;MicrosoftSQLServer;DRECWCL005 / DRECWCL006;;Always On
DRECWDB013\B013DCA;1;BDD INST;DCA;NO DUPLICADO;Componente no encontrado en Dynatrace;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO CMDB;NO ENCONTRADO EN PLAN;NO ENCONTRADO EN PLAN;VERIFICAR CMDB;DRECWDB013\B013DCA;MicrosoftSQLServer;DRECWCL009 / DRECWCL010;;Always On
DRECWDB019;1;BDD INST;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECWDB019;MicrosoftSQLServer;DRECWDB019;;Always On
DRECWDB019;0;BDD SERV;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECWDB019;MicrosoftSQLServer;DRECWDB019;;Always On
drecwdb019;0;WINTEL;DCA;DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2019 Standard - 10.0.17763;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;drecwdb019;Microsoft Windows Server 2019 (64-bit);poweredOn;DRECAVC004;VMware Virtual Machine Instance
DRECWDB025;1;BDD SERV;DCA;NO DUPLICADO;ENTITIES DYNATRACE;Operativo;WINTEL;Producción;Windows 2022 Standard - 10.0.20348;NO ENCONTRADO EN PLAN;Infrastructure only (Agente);CON SOPORTE;DRECWDB025;MicrosoftSQLServer;DRECWDB025\Q01DCA;;Always On
